--- Análisis de la IA para la ruleta ---

Jugadas totales: 100000

Historial de jugadas (últimas 1000):
Paso: 99174, Acción (apuesta): 0, Recompensa: -1.00, Saldo: -12416.50
Paso: 99175, Acción (apuesta): 2, Recompensa: -1.00, Saldo: -12419.50
Paso: 99176, Acción (apuesta): 2, Recompensa: -1.00, Saldo: -12421.50
Paso: 99177, Acción (apuesta): 2, Recompensa: -1.00, Saldo: -12423.50
Paso: 99178, Acción (apuesta): 9, Recompensa: -1.00, Saldo: -12428.50
Paso: 99179, Acción (apuesta): 6, Recompensa: -1.00, Saldo: -12430.50
Paso: 99180, Acción (apuesta): 9, Recompensa: -1.00, Saldo: -12429.50
Paso: 99181, Acción (apuesta): 9, Recompensa: -1.00, Saldo: -12428.50
Paso: 99182, Acción (apuesta): 9, Recompensa: -1.00, Saldo: -12430.50
Paso: 99183, Acción (apuesta): 9, Recompensa: -1.00, Saldo: -12435.50
Paso: 99184, Acción (apuesta): 0, Recompensa: 1.00, Saldo: -12438.50
Paso: 99185, Acción (apuesta): 6, Recompensa: -1.00, Saldo: -12441.50
Paso: 99186, Acción (apuesta): 6, Recompensa: -1.00, Saldo: -12440.50
Paso: 99187, Acción (apuesta): 6, Recompensa: 2.00, Saldo: -12436.50
Paso: 99188, Acción (apuesta): 6, Recompensa: -1.00, Saldo: -12432.50
Paso: 99189, Acción (apuesta): 6, Recompensa: -1.00, Saldo: -12435.50
Paso: 99190, Acción (apuesta): 6, Recompensa: -1.00, Saldo: -12434.50
Paso: 99191, Acción (apuesta): 6, Recompensa: -1.00, Saldo: -12436.50
Paso: 99192, Acción (apuesta): 6, Recompensa: 2.00, Saldo: -12435.50
Paso: 99193, Acción (apuesta): 2, Recompensa: -1.00, Saldo: -12429.50
Paso: 99194, Acción (apuesta): 6, Recompensa: -1.00, Saldo: -12434.50
Paso: 99195, Acción (apuesta): 2, Recompensa: -1.00, Saldo: -12436.50
Paso: 99196, Acción (apuesta): 2, Recompensa: -1.00, Saldo: -12435.50
Paso: 99197, Acción (apuesta): 2, Recompensa: -1.00, Saldo: -12437.50
Paso: 99198, Acción (apuesta): 2, Recompensa: 2.00, Saldo: -12436.50
Paso: 99199, Acción (apuesta): 5, Recompensa: -1.00, Saldo: -12438.50
Paso: 99200, Acción (apuesta): 7, Recompensa: -1.00, Saldo: -12443.50
